Time,index A,index B,index C,index D
2022/1/16 17:50,79.01,24.82,12.41,15.31
2022/1/16 18:50,79.08,25.4,12.93,15.89
2022/1/16 19:50,78.74,24.91,12.93,15.58
2022/1/16 20:50,80.06,24.15,13.11,14.77
2022/1/16 21:50,79.87,21.33,11.55,14.01
2022/1/16 22:50,81.47,20.35,10.85,13.16
2022/1/16 23:50,81.52,20.21,10.68,13.16
2022/1/17 0:50,80.61,22.23,12.41,13.07
2022/1/17 1:50,80.4,22.05,12.41,13.03
2022/1/17 2:50,79.03,23.43,13.97,15.13
2022/1/17 3:50,79.05,23.52,13.8,15.4
2022/1/17 4:50,78.76,23.66,13.45,15.31
2022/1/17 5:50,79.75,24.42,12.59,15.89
2022/1/17 6:50,79.89,23.93,12.59,16.02
2022/1/17 7:50,79.79,25.04,12.93,18.66
2022/1/17 8:50,79.89,23.12,12.76,22.46
2022/1/17 9:50,79.62,23.93,12.76,19.15
2022/1/17 10:50,79.59,23.43,12.59,15.8
2022/1/17 11:50,80.44,22.18,12.07,13.61
2022/1/17 12:50,80.16,23.03,12.41,12.09
2022/1/17 13:50,79.89,22.99,12.41,12.62
2022/1/17 14:50,79.75,22.85,12.76,13.97
2022/1/17 15:50,79.71,22.41,12.59,15.75
2022/1/17 16:50,80.13,21.82,12.41,16.56
2022/1/17 17:50,79.58,24.73,12.93,16.11
2022/1/17 18:50,78.63,24.24,12.76,15.53
2022/1/17 19:50,78.91,23.61,12.24,15.93
2022/1/17 20:50,79.07,23.57,12.76,15.49
2022/1/17 21:50,79.28,23.17,11.89,14.28
2022/1/17 22:50,79.92,22.45,11.55,13.56
2022/1/17 23:50,79.68,22.81,11.72,13.83
2022/1/18 0:50,81.23,21.42,11.37,14.32
2022/1/18 1:50,81.46,21.2,11.37,14.28
2022/1/18 2:50,81.53,21.11,11.03,13.25
2022/1/18 3:50,81.23,21.87,11.72,13.25
2022/1/18 4:50,82.07,20.57,10.51,13.12
2022/1/18 5:50,81.67,20.48,9.82,14.82
2022/1/18 6:50,81.45,21.6,11.03,13.07
2022/1/18 7:50,82.63,20.84,10.34,12.67
2022/1/18 8:50,82.28,20.93,10.16,13.83
2022/1/18 9:50,81.5,21.65,10.16,12.76
2022/1/18 10:50,81.88,21.42,10.16,13.03
2022/1/18 11:50,81.2,21.69,11.03,18.89
2022/1/18 12:50,80.82,21.73,10.68,20.67
2022/1/18 13:50,80.58,21.65,10.85,21.3
2022/1/18 14:50,81.35,21.29,10.85,19.96
2022/1/18 15:50,81.33,21.29,10.85,19.29
2022/1/18 16:50,81.54,21.15,10.85,19.65
2022/1/18 17:50,80.03,22.76,11.89,17.72
2022/1/18 18:50,79.01,24.24,12.07,22.19
2022/1/18 19:50,79.08,24.28,12.24,19.91
2022/1/18 20:50,78.98,24.02,12.07,18.84
2022/1/18 21:50,79.79,23.3,11.72,15.8
2022/1/18 22:50,79.48,23.26,11.89,14.73
2022/1/18 23:50,79.42,23.3,11.72,14.64
2022/1/19 0:50,79.73,23.39,11.2,13.65
2022/1/19 1:50,79.92,23.03,11.2,13.47
2022/1/19 2:50,79.46,23.97,11.89,14.95
2022/1/19 3:50,80.03,23.3,11.72,14.55
2022/1/19 4:50,79.92,23.26,12.41,14.28
2022/1/19 5:50,80.2,23.17,13.11,14.19
2022/1/19 6:50,79.87,24.02,13.97,16.38
2022/1/19 7:50,80.64,24.37,13.45,16.16
2022/1/19 8:50,81.13,21.6,12.24,16.92
2022/1/19 9:50,81.35,21.24,12.41,19.02
2022/1/19 10:50,81.43,20.08,11.37,17.14
2022/1/19 11:50,80.72,22.14,13.45,15.31
2022/1/19 12:50,81.15,20.88,12.07,14.82
2022/1/19 13:50,80.28,22.27,13.8,14.95
2022/1/19 14:50,80.09,23.12,13.28,15.26
2022/1/19 15:50,79.62,22.76,13.11,17.86
2022/1/19 16:50,79.87,23.3,13.28,15.4
2022/1/19 17:50,81.11,21.51,11.89,21.61
2022/1/19 18:50,80.06,22.99,13.28,20.36
2022/1/19 19:50,81.87,21.73,12.93,21.61
2022/1/19 20:50,82.79,20.26,12.93,22.19
2022/1/19 21:50,80.47,22.23,12.76,21.03
2022/1/19 22:50,79.54,23.57,13.45,20.85
2022/1/19 23:50,79.25,24.06,13.28,20.58
2022/1/20 0:50,79.07,23.97,13.28,20.36
2022/1/20 1:50,79.1,23.52,12.59,20.09
2022/1/20 2:50,78.87,23.57,12.24,20.23
2022/1/20 3:50,78.83,23.84,12.07,18.75
2022/1/20 4:50,78.74,24.06,11.72,18.93
2022/1/20 5:50,78.52,25.89,12.59,16.25
2022/1/20 6:50,77.87,27.64,12.93,17.19
2022/1/20 7:50,77.53,28,12.24,18.97
2022/1/20 8:50,77.95,26.34,12.76,18.97
2022/1/20 9:50,78.9,25.04,11.89,19.51
2022/1/20 10:50,79.49,24.1,11.72,18.93
2022/1/20 11:50,80.33,23.08,11.55,17.32
2022/1/20 12:50,79.82,23.66,12.07,17.41
2022/1/20 13:50,79.25,24.42,12.07,16.16
2022/1/20 14:50,79.13,24.51,12.41,15.84
2022/1/20 15:50,79.15,23.97,12.41,15.8
2022/1/20 16:50,79.76,23.52,12.41,17.77
2022/1/20 17:50,80.38,23.84,13.45,17.81
2022/1/20 18:50,79.41,25.76,13.28,18.17
2022/1/20 19:50,79.28,25.89,13.45,20
2022/1/20 20:50,79.22,24.73,13.63,21.43
2022/1/20 21:50,80.27,23.3,13.11,21.21
2022/1/20 22:50,80.67,22.99,12.93,18.97
2022/1/20 23:50,81.02,22.54,12.76,16.34
2022/1/21 0:50,81.47,20.57,11.2,16.16
2022/1/21 1:50,81.68,20.08,10.34,15.22
2022/1/21 2:50,80.4,22.27,12.24,16.02
2022/1/21 3:50,80.53,22.36,12.07,16.25
2022/1/21 4:50,80.27,22.72,11.89,16.11
2022/1/21 5:50,79.21,23.97,11.72,15.98
2022/1/21 6:50,79.34,23.48,11.55,16.25
2022/1/21 7:50,79.37,23.88,11.37,17.36
2022/1/21 8:50,79.73,23.75,11.55,17.86
2022/1/21 9:50,80.3,22.27,10.34,16.92
2022/1/21 10:50,79.56,23.43,10.85,15.4
2022/1/21 11:50,80.21,23.03,11.2,15.35
2022/1/21 12:50,80.21,22.67,10.68,14.19
2022/1/21 13:50,80.12,22.72,11.37,14.06
2022/1/21 14:50,80.3,22.67,11.2,15.71
2022/1/21 15:50,80.21,22.94,11.72,17.36
2022/1/21 16:50,80.37,23.03,12.24,18.13
2022/1/21 17:50,80.38,22.58,12.24,18.3
2022/1/21 18:50,80.55,24.19,12.07,19.15
2022/1/21 19:50,80.62,23.52,12.41,19.51
2022/1/21 20:50,80.65,22.94,12.24,19.11
2022/1/21 21:50,80.94,22.05,11.72,19.96
2022/1/21 22:50,80.67,22.05,11.55,19.51
2022/1/21 23:50,80.44,22.32,11.37,19.2
2022/1/22 0:50,79.49,23.52,11.37,17.99
2022/1/22 1:50,79.03,23.93,11.2,16.96
2022/1/22 2:50,79.52,23.48,11.2,17.59
2022/1/22 3:50,79.13,23.75,11.55,17.19
2022/1/22 4:50,79.24,23.79,11.37,17.54
2022/1/22 5:50,79.89,23.08,10.68,19.29
2022/1/22 6:50,79.92,23.84,10.85,21.7
2022/1/22 7:50,80.6,24.1,11.55,21.39
2022/1/22 8:50,80.58,23.21,10.85,20.41
2022/1/22 9:50,80.92,22.67,10.85,19.47
2022/1/22 10:50,81.18,22.27,10.51,18.62
2022/1/22 11:50,80.82,22.72,10.68,18.17
2022/1/22 12:50,80.4,22.58,10.85,18.21
2022/1/22 13:50,80.1,22.63,11.37,17.41
2022/1/22 14:50,79.83,23.17,12.07,17.14
2022/1/22 15:50,80.26,22.54,11.72,17.05
2022/1/22 16:50,79.55,22.45,11.55,16.96
2022/1/22 17:50,79.76,22,11.72,18.84
2022/1/22 18:50,80.51,22,11.37,18.53
2022/1/22 19:50,80.16,21.78,10.85,17.9
2022/1/22 20:50,79.79,22.58,11.2,17.05
2022/1/22 21:50,80.19,21.69,10.68,17.19
