Time,Temperature of system I,Temperature of system II
2022/1/25 2:55,1273.68,937.37
2022/1/25 2:56,1273.33,937.48
2022/1/25 2:57,1272.76,937.14
2022/1/25 2:58,1273.15,937.01
2022/1/25 2:59,1272.93,937.28
2022/1/25 3:00,1272.93,937.41
2022/1/25 3:01,1273.59,937.35
2022/1/25 3:02,1273.24,937.85
2022/1/25 3:03,1273.33,937.08
2022/1/25 3:04,1273.42,937.44
2022/1/25 3:05,1272.4,937.29
2022/1/25 3:06,1272.98,937.26
2022/1/25 3:07,1273.55,937.5
2022/1/25 3:08,1273.77,937.6
2022/1/25 3:09,1272.93,937.35
2022/1/25 3:10,1272.84,937.26
2022/1/25 3:11,1273.2,937.28
2022/1/25 3:12,1275.1,937.74
2022/1/25 3:13,1272.58,936.04
2022/1/25 3:14,1274.48,938.71
2022/1/25 3:15,1273.77,937.88
2022/1/25 3:16,1273.68,937.62
2022/1/25 3:17,1273.15,937.2
2022/1/25 3:18,1273.59,937.4
2022/1/25 3:19,1273.37,937.39
2022/1/25 3:20,1273.33,937.53
2022/1/25 3:21,1273.15,937.69
2022/1/25 3:22,1273.78,937.49
2022/1/25 3:23,1273.73,937.37
2022/1/25 3:24,1272.89,937.01
2022/1/25 3:25,1273.29,937.37
2022/1/25 3:26,1273.51,937.41
2022/1/25 3:27,1273.33,937.38
2022/1/25 3:28,1273.9,937.48
2022/1/25 3:29,1273.06,937.56
2022/1/25 3:30,1274.13,937.87
2022/1/25 3:31,1272.45,937.3
2022/1/25 3:32,1271.34,936.62
2022/1/25 3:33,1272.76,937.03
2022/1/25 3:34,1272.14,935.97
2022/1/25 3:35,1273.51,937.4
2022/1/25 3:36,1273.29,937.49
2022/1/25 3:37,1272.84,937.44
2022/1/25 3:38,1273.2,937.22
2022/1/25 3:39,1273.73,937.44
2022/1/25 3:40,1273.33,937.07
2022/1/25 3:41,1273.82,937.43
2022/1/25 3:42,1273.82,938.39
2022/1/25 3:43,1273.11,937.24
2022/1/25 3:44,1273.64,937.61
2022/1/25 3:45,1273.11,937.39
2022/1/25 3:46,1273.42,937.4
2022/1/25 3:47,1273.86,937.86
2022/1/25 3:48,1273.11,937.61
2022/1/25 3:49,1273.29,937.01
2022/1/25 3:50,1273.51,937.49
2022/1/25 3:51,1273.29,937.45
2022/1/25 3:52,1273.51,937.49
2022/1/25 3:53,1273.51,937.35
2022/1/25 3:54,1273.02,937.4
2022/1/25 3:55,1273.42,937.77
2022/1/25 3:56,1271.39,935.58
2022/1/25 3:57,1274.08,938.14
2022/1/25 3:58,1272.85,936.62
2022/1/25 3:59,1274.7,939.06
2022/1/25 4:00,1273.15,937.4
2022/1/25 4:01,1273.47,937.6
2022/1/25 4:02,1272.01,936.18
2022/1/25 4:03,1273.07,937.32
2022/1/25 4:04,1273.55,936.75
2022/1/25 4:05,1274.04,937.84
2022/1/25 4:06,1273.68,937.46
2022/1/25 4:07,1272.85,936.64
2022/1/25 4:08,1274.09,937.99
2022/1/25 4:09,1272.49,937.39
2022/1/25 4:10,1273.06,937.28
2022/1/25 4:11,1273.33,937.55
2022/1/25 4:12,1273.37,937.55
2022/1/25 4:13,1272.98,937.01
2022/1/25 4:14,1273.68,937.51
2022/1/25 4:15,1273.11,937.44
2022/1/25 4:16,1273.11,937.35
2022/1/25 4:17,1273.02,937.3
2022/1/25 4:18,1272.76,937.07
2022/1/25 4:19,1273.29,937.23
2022/1/25 4:20,1273.33,937.88
2022/1/25 4:21,1273.33,937.26
2022/1/25 4:22,1273.33,937.4
2022/1/25 4:23,1273.33,937.26
2022/1/25 4:24,1272.8,937.12
2022/1/25 4:25,1273.2,937.24
2022/1/25 4:26,1272.89,937.31
2022/1/25 4:27,1272.89,937.03
2022/1/25 4:28,1272.89,936.63
2022/1/25 4:29,1273.82,937.65
2022/1/25 4:30,1273.59,936.8
2022/1/25 4:31,1272.58,938.04
2022/1/25 4:32,1273.2,937.34
2022/1/25 4:33,1273.11,937.33
2022/1/25 4:34,1273.2,937.11
2022/1/25 4:35,1273.2,937.27
2022/1/25 4:36,1273.68,937.5
2022/1/25 4:37,1273.24,937.28
2022/1/25 4:38,1273.64,937.57
2022/1/25 4:39,1273.64,937.85
2022/1/25 4:40,1272.45,936.71
2022/1/25 4:41,1272.19,936.76
2022/1/25 4:42,1273.77,937.41
2022/1/25 4:43,1272.89,937.26
2022/1/25 4:44,1273.37,937.37
2022/1/25 4:45,1272.89,937.14
2022/1/25 4:46,1273.33,937.25
2022/1/25 4:47,1272.98,936.94
2022/1/25 4:48,1273.24,937.66
2022/1/25 4:49,1273.37,937.5
2022/1/25 4:50,1272.84,936.67
2022/1/25 4:51,1273.68,937.58
2022/1/25 4:52,1272.89,937.44
2022/1/25 4:53,1273.25,937.42
2022/1/25 4:54,1273.51,937.47
2022/1/25 4:55,1272.85,937.45
2022/1/25 4:56,1270.99,935.1
2022/1/25 4:57,1273.15,937.16
2022/1/25 4:58,1272.4,936.13
2022/1/25 4:59,1273.86,938.25
2022/1/25 5:00,1274.04,938.13
2022/1/25 5:01,1273.82,938.1
2022/1/25 5:02,1272.76,937.11
2022/1/25 5:03,1274.39,938.2
2022/1/25 5:04,1273.73,937.53
2022/1/25 5:05,1274.48,938.43
2022/1/25 5:06,1274.31,937.88
2022/1/25 5:07,1273.24,936.94
2022/1/25 5:08,1326.28,946.66
2022/1/25 5:09,1326.5,946.41
2022/1/25 5:10,1326.41,946.51
2022/1/25 5:11,1325.61,946.55
2022/1/25 5:12,1326.24,946.72
2022/1/25 5:13,1325.97,946.58
2022/1/25 5:14,1326.05,947.03
2022/1/25 5:15,1327.16,946.64
2022/1/25 5:16,1324.55,945.46
2022/1/25 5:17,1325.75,946.33
2022/1/25 5:18,1326.14,946.4
2022/1/25 5:19,1326.72,946.5
2022/1/25 5:20,1325.92,946.37
2022/1/25 5:21,1326.01,946.55
2022/1/25 5:22,1327.02,946.81
2022/1/25 5:23,1405.91,960.24
2022/1/25 5:24,1406,961.14
2022/1/25 5:25,1404.32,959.6
2022/1/25 5:26,1404.32,960.31
2022/1/25 5:27,1404.94,959.98
2022/1/25 5:28,1404.54,960.24
2022/1/25 5:29,1404.54,960.14
2022/1/25 5:30,1401.89,957.92
2022/1/25 5:31,1404.68,960.18
2022/1/25 5:32,1404.19,958.8
2022/1/25 5:33,1404.81,960.15
2022/1/25 5:34,1404.99,960.15
2022/1/25 5:35,1404.59,959.98
2022/1/25 5:36,1405.08,960.84
2022/1/25 5:37,1404.59,959.94
2022/1/25 5:38,1405.34,960.43
2022/1/25 5:39,1404.01,959.32
2022/1/25 5:40,1404.28,959.93
2022/1/25 5:41,1404.32,960.08
2022/1/25 5:42,1405.56,960.53
2022/1/25 5:43,1404.63,960.01
2022/1/25 5:44,1404.1,959.98
2022/1/25 5:45,1405.34,960.56
2022/1/25 5:46,1404.19,960.35
2022/1/25 5:47,1404.15,959.88
2022/1/25 5:48,1404.24,960.07
2022/1/25 5:49,1404.5,960.29
2022/1/25 5:50,1404.5,959.9
2022/1/25 5:51,1405.56,960.64
2022/1/25 5:52,1405.08,959.91
2022/1/25 5:53,1405.08,960.18
2022/1/25 5:54,1404.46,960.48
2022/1/25 5:55,1404.63,960.04
2022/1/25 5:56,1404.23,959.93
2022/1/25 5:57,1404.63,960.17
2022/1/25 5:58,1404.73,959.98
2022/1/25 5:59,1403.84,959
2022/1/25 6:00,1405.47,959.96
2022/1/25 6:01,1403.3,959.15
2022/1/25 6:02,1405.86,961.04
2022/1/25 6:03,1404.32,960
2022/1/25 6:04,1405.56,960.22
2022/1/25 6:05,1404.81,960.35
2022/1/25 6:06,1406,960.83
2022/1/25 6:07,1404.9,960.29
2022/1/25 6:08,1404.9,960.76
2022/1/25 6:09,1404.94,960.03
2022/1/25 6:10,1404.94,960.37
2022/1/25 6:11,1404.81,959.91
2022/1/25 6:12,1404.81,960.05
2022/1/25 6:13,1404.81,960.2
2022/1/25 6:14,1404.81,960.32
2022/1/25 6:15,1404.32,960.05
2022/1/25 6:16,1405.07,960.18
2022/1/25 6:17,1403.4,959.48
2022/1/25 6:18,1405.08,960.29
2022/1/25 6:19,1404.55,960.05
2022/1/25 6:20,1404.9,960.29
2022/1/25 6:21,1404.73,959.95
2022/1/25 6:22,1404.68,960.01
2022/1/25 6:23,1404.76,960.11
2022/1/25 6:24,1404.5,960.27
2022/1/25 6:25,1404.2,960.08
2022/1/25 6:26,1405.21,960.29
2022/1/25 6:27,1404.85,960.19
2022/1/25 6:28,1405.29,960.48
2022/1/25 6:29,1405.29,960.36
2022/1/25 6:30,1405.56,960.4
2022/1/25 6:31,1404.99,960.54
2022/1/25 6:32,1406,960.59
2022/1/25 6:33,1404.99,960.45
2022/1/25 6:34,1405.29,960.53
2022/1/25 6:35,1404.72,959.83
2022/1/25 6:36,1404.5,960.19
2022/1/25 6:37,1405.21,960.14
2022/1/25 6:38,1403.22,959.68
2022/1/25 6:39,1404.85,960.21
2022/1/25 6:40,1403.04,958.34
2022/1/25 6:41,1405.08,960.41
2022/1/25 6:42,1402.95,958.6
2022/1/25 6:43,1404.5,959.86
2022/1/25 6:44,1404.05,959.94
2022/1/25 6:45,1405.11,960.12
2022/1/25 6:46,1405.11,959.8
2022/1/25 6:47,1405.11,960.3
2022/1/25 6:48,1404.81,959.84
2022/1/25 6:49,1405.16,960.4
2022/1/25 6:50,1406.01,960.29
2022/1/25 6:51,1403.75,959.43
2022/1/25 6:52,1405.11,959.8
2022/1/25 6:53,1404.5,960.39
2022/1/25 6:54,1405.56,961.3
2022/1/25 6:55,1405.07,960.11
2022/1/25 6:56,1404.5,960.49
2022/1/25 6:57,1404.5,960.12
2022/1/25 6:58,1405.34,960.01
2022/1/25 6:59,1404.85,960.05
2022/1/25 7:00,1404.24,959.7
2022/1/25 7:01,1404.24,960.11
2022/1/25 7:02,1403.75,959.1
2022/1/25 7:03,1405.03,960.12
2022/1/25 7:04,1403.26,959.83
2022/1/25 7:05,1404.23,959.95
2022/1/25 7:06,1404.76,959.46
2022/1/25 7:07,1404.72,959.93
2022/1/25 7:08,1404.15,959.74
2022/1/25 7:09,1404.72,959.56
2022/1/25 7:10,1404.54,959.11
2022/1/25 7:11,1404.9,960.2
2022/1/25 7:12,1404.19,959.6
2022/1/25 7:13,1404.94,959.96
2022/1/25 7:14,1402.91,958.86
2022/1/25 7:15,1404.73,960.2
2022/1/25 7:16,1404.28,959.84
2022/1/25 7:17,1404.81,960.21
2022/1/25 7:18,1403.71,959.42
2022/1/25 7:19,1404.73,959.95
2022/1/25 7:20,1404.73,959.53
2022/1/25 7:21,1404.94,960.25
2022/1/25 7:22,1404.1,959.15
2022/1/25 7:23,1405.12,960.29
2022/1/25 7:24,1405.12,960.01
2022/1/25 7:25,1405.12,960.22
2022/1/25 7:26,1404.41,960.12
2022/1/25 7:27,1405.29,960.32
2022/1/25 7:28,1404.37,960.17
2022/1/25 7:29,1404.5,960
2022/1/25 7:30,1404.05,959.78
2022/1/25 7:31,1404.68,960.16
2022/1/25 7:32,1404.41,959.94
2022/1/25 7:33,1404.63,960.16
2022/1/25 7:34,1405.52,965.5
2022/1/25 7:35,1404.37,959.98
2022/1/25 7:36,1404.73,960.39
2022/1/25 7:37,1405.25,960.53
2022/1/25 7:38,1404.99,959.85
2022/1/25 7:39,1405.03,960.16
2022/1/25 7:40,1405.3,960.34
2022/1/25 7:41,1404.32,960.04
2022/1/25 7:42,1404.68,960.11
2022/1/25 7:43,1405.38,960.55
2022/1/25 7:44,1404.28,960.37
2022/1/25 7:45,1405.43,960.53
2022/1/25 7:46,1404.94,960.14
2022/1/25 7:47,1404.94,960.44
2022/1/25 7:48,1404.76,959.98
2022/1/25 7:49,1404.36,960.03
2022/1/25 7:50,1404.72,960.09
2022/1/25 7:51,1404.58,960.2
2022/1/25 7:52,1405.07,959.56
2022/1/25 7:53,1404.36,959.44
2022/1/25 7:54,1405.43,960.47
2022/1/25 7:55,1406.27,961.23
2022/1/25 7:56,1404.27,960.18
2022/1/25 7:57,1405.82,960.84
2022/1/25 7:58,1404.63,960.27
2022/1/25 7:59,1404.45,959.95
2022/1/25 8:00,1405.21,960.88
2022/1/25 8:01,1405.38,960.5
2022/1/25 8:02,1403.7,959.68
2022/1/25 8:03,1405.87,961.04
2022/1/25 8:04,1405.43,960.38
2022/1/25 8:05,1404.32,960.9
2022/1/25 8:06,1404.77,960.23
2022/1/25 8:07,1404.28,960.06
2022/1/25 8:08,1405.52,960.6
2022/1/25 8:09,1404.59,960.24
2022/1/25 8:10,1403.97,959.52
2022/1/25 8:11,1405.12,960.19
2022/1/25 8:12,1405.12,960.42
2022/1/25 8:13,1404.72,960.14
2022/1/25 8:14,1404.5,960.14
2022/1/25 8:15,1404.85,960.92
2022/1/25 8:16,1404.41,959.9
2022/1/25 8:17,1405.83,960.32
2022/1/25 8:18,1404.85,959.96
2022/1/25 8:19,1404.15,959.64
2022/1/25 8:20,1405.12,960.23
2022/1/25 8:21,1405.12,960.05
2022/1/25 8:22,1404.41,959.35
2022/1/25 8:23,1405.6,960.79
2022/1/25 8:24,1406.17,961.25
2022/1/25 8:25,1404.54,960.36
2022/1/25 8:26,1405.11,960.27
2022/1/25 8:27,1405.16,960.1
2022/1/25 8:28,1404.76,960.29
2022/1/25 8:29,1404.85,960.18
2022/1/25 8:30,1405.69,960.6
2022/1/25 8:31,1404.32,960.17
2022/1/25 8:32,1404.68,960.09
2022/1/25 8:33,1404.01,959.89
2022/1/25 8:34,1404.72,960.15
2022/1/25 8:35,1404.68,959.84
2022/1/25 8:36,1404.68,960.36
2022/1/25 8:37,1404.9,960.21
2022/1/25 8:38,1404.68,960.06
2022/1/25 8:39,1404.32,960.21
2022/1/25 8:40,1404.68,960.08
2022/1/25 8:41,1404.36,959.21
2022/1/25 8:42,1404.85,960.17
2022/1/25 8:43,1404.99,960.36
2022/1/25 8:44,1404.58,960.16
2022/1/25 8:45,1405.38,960.3
2022/1/25 8:46,1404.32,960.3
2022/1/25 8:47,1404.72,960.37
2022/1/25 8:48,1404.72,960.2
2022/1/25 8:49,1404.72,960.11
2022/1/25 8:50,1404.77,959.65
2022/1/25 8:51,1404.85,959.98
2022/1/25 8:52,1406.09,961.06
2022/1/25 8:53,1404.5,960.03
2022/1/25 8:54,1405.11,960.65
2022/1/25 8:55,1405.64,960.93
2022/1/25 8:56,1404.45,960.06
2022/1/25 8:57,1404.8,960.12
2022/1/25 8:58,1404.8,960.26
2022/1/25 8:59,1404.85,960.22
2022/1/25 9:00,1404.85,960.22
2022/1/25 9:01,1404.99,960.43
2022/1/25 9:02,1405.07,960.24
2022/1/25 9:03,1405.07,960.41
2022/1/25 9:04,1405.56,960.68
2022/1/25 9:05,1404.54,960.3
2022/1/25 9:06,1404.54,960.18
2022/1/25 9:07,1405.16,960.32
2022/1/25 9:08,1404.5,960.2
2022/1/25 9:09,1404.98,960.53
2022/1/25 9:10,1404.63,960.16
2022/1/25 9:11,1404.36,960.25
2022/1/25 9:12,1405.38,960.12
2022/1/25 9:13,1404.58,959.67
2022/1/25 9:14,1405.56,960.02
2022/1/25 9:15,1405.43,960.46
2022/1/25 9:16,1404.9,960.51
2022/1/25 9:17,1405.43,960.23
2022/1/25 9:18,1404.85,960.14
2022/1/25 9:19,1405.3,960.08
2022/1/25 9:20,1405.3,960.08
2022/1/25 9:21,1404.59,960.13
2022/1/25 9:22,1404.59,959.86
2022/1/25 9:23,1404.94,960.24
2022/1/25 9:24,1404.94,959.99
2022/1/25 9:25,1405.52,960.29
2022/1/25 9:26,1404.99,960.19
2022/1/25 9:27,1404.9,960.34
2022/1/25 9:28,1405.3,960.21
2022/1/25 9:29,1404.9,960
2022/1/25 9:30,1404.9,960.18
2022/1/25 9:31,1404.9,960.12
2022/1/25 9:32,1405.34,960.32
2022/1/25 9:33,1404.5,959.95
2022/1/25 9:34,1405.82,960.36
2022/1/25 9:35,1405.74,960.5
2022/1/25 9:36,1405.47,960.16
2022/1/25 9:37,1405.11,960.25
2022/1/25 9:38,1405.11,960.25
2022/1/25 9:39,1404.36,960.24
2022/1/25 9:40,1404.76,960.18
2022/1/25 9:41,1405.16,960.25
2022/1/25 9:42,1405.16,960.25
2022/1/25 9:43,1404.8,960.36
2022/1/25 9:44,1405.38,960.5
2022/1/25 9:45,1405.74,960.56
2022/1/25 9:46,1404.76,960.25
2022/1/25 9:47,1405.47,960.27
2022/1/25 9:48,1405.11,960.11
2022/1/25 9:49,1404.68,960.03
2022/1/25 9:50,1405.16,960.24
2022/1/25 9:51,1405.03,960.37
2022/1/25 9:52,1405.03,960.51
2022/1/25 9:53,1404.98,960.3
2022/1/25 9:54,1404.27,960.03
2022/1/25 9:55,1404.27,960.03
2022/1/25 9:56,1405.21,960.19
2022/1/25 9:57,1404.73,960.25
2022/1/25 9:58,1405.47,960.38
2022/1/25 9:59,1404.94,960.34
2022/1/25 10:00,1404.06,959.74
2022/1/25 10:01,1405.25,960.53
2022/1/25 10:02,1404.36,960.06
2022/1/25 10:03,1405.11,960.19
2022/1/25 10:04,1405.11,960.21
2022/1/25 10:05,1404.76,959.99
2022/1/25 10:06,1405.34,960.29
2022/1/25 10:07,1404.94,960.22
2022/1/25 10:08,1404.59,960.03
2022/1/25 10:09,1404.99,960.1
2022/1/25 10:10,1405.83,960.38
2022/1/25 10:11,1404.81,960.19
2022/1/25 10:12,1404.32,959.92
2022/1/25 10:13,1405.07,960.22
2022/1/25 10:14,1405.07,960.22
2022/1/25 10:15,1405.07,960.83
2022/1/25 10:16,1404.5,959.94
2022/1/25 10:17,1405.51,960.38
2022/1/25 10:18,1405.11,960.24
2022/1/25 10:19,1404.46,960.08
2022/1/25 10:20,1404.99,960.43
2022/1/25 10:21,1404.54,960.35
2022/1/25 10:22,1405.56,960.53
2022/1/25 10:23,1405.47,960.49
2022/1/25 10:24,1405.3,960.33
2022/1/25 10:25,1404.9,960.26
2022/1/25 10:26,1404.9,960.26
2022/1/25 10:27,1404.55,959.74
2022/1/25 10:28,1404.59,960.22
2022/1/25 10:29,1405.03,960.02
2022/1/25 10:30,1404.68,960.24
2022/1/25 10:31,1405.3,960.33
2022/1/25 10:32,1405.3,960.68
2022/1/25 10:33,1404.68,959.74
2022/1/25 10:34,1405.12,960.39
2022/1/25 10:35,1404.5,960.13
2022/1/25 10:36,1404.15,959.8
2022/1/25 10:37,1405.3,959.96
2022/1/25 10:38,1403.88,959.72
2022/1/25 10:39,1404.06,959.93
2022/1/25 10:40,1405.25,960.34
2022/1/25 10:41,1404.85,960.1
2022/1/25 10:42,1404.98,960.39
2022/1/25 10:43,1405.69,960.64
2022/1/25 10:44,1405.07,960.35
2022/1/25 10:45,1405.03,960.34
2022/1/25 10:46,1405.69,960.45
2022/1/25 10:47,1404.94,960.2
2022/1/25 10:48,1405.3,960.26
2022/1/25 10:49,1405.65,960.59
2022/1/25 10:50,1405.6,960.43
2022/1/25 10:51,1404.72,960.11
2022/1/25 10:52,1404.72,960.19
2022/1/25 10:53,1405.16,960.27
2022/1/25 10:54,1404.54,960.13
2022/1/25 10:55,1406.05,960.86
2022/1/25 10:56,1404.68,960.02
2022/1/25 10:57,1405.16,960.06
2022/1/25 10:58,1404.59,960.09
2022/1/25 10:59,1404.73,960.42
2022/1/25 11:00,1404.73,960.13
2022/1/25 11:01,1405.21,960.43
2022/1/25 11:02,1404.28,960.02
2022/1/25 11:03,1404.63,960.14
2022/1/25 11:04,1404.76,960.18
2022/1/25 11:05,1404.76,960.15
2022/1/25 11:06,1404.85,960.17
2022/1/25 11:07,1405.11,960.38
2022/1/25 11:08,1404.45,960.1
2022/1/25 11:09,1404.45,959.86
2022/1/25 11:10,1405.21,960.21
2022/1/25 11:11,1405.21,960.01
2022/1/25 11:12,1405.43,960.01
2022/1/25 11:13,1405.43,960.01
2022/1/25 11:14,1405.08,960.1
2022/1/25 11:15,1404.28,959.96
2022/1/25 11:16,1405.74,960.39
2022/1/25 11:17,1404.59,960.23
2022/1/25 11:18,1404.94,960.29
2022/1/25 11:19,1405.38,960.67
2022/1/25 11:20,1404.36,959.79
2022/1/25 11:21,1404.99,960.12
2022/1/25 11:22,1405.03,960.28
2022/1/25 11:23,1404.27,960.02
2022/1/25 11:24,1404.8,960.24
2022/1/25 11:25,1404.8,960.24
2022/1/25 11:26,1404.8,960.26
2022/1/25 11:27,1405.64,960.83
2022/1/25 11:28,1404.85,959.83
2022/1/25 11:29,1405.08,960.31
2022/1/25 11:30,1405.3,960.36
2022/1/25 11:31,1405.3,960.36
2022/1/25 11:32,1404.72,960.13
2022/1/25 11:33,1405.07,960.2
2022/1/25 11:34,1404.58,960.11
2022/1/25 11:35,1405.29,960.23
2022/1/25 11:36,1404.98,960.03
2022/1/25 11:37,1405.43,960.11
2022/1/25 11:38,1404.28,959.7
2022/1/25 11:39,1404.36,960.07
