Time,Process parameter 1,Process parameter 2,Process parameter 3,Process parameter 4
2022/2/1 14:30,1.25,3.09,265.79,164.45
2022/2/1 17:30,1.25,3.09,275.99,135.63
2022/2/1 20:30,1.25,3.09,263.86,168.61
2022/2/1 23:30,1.25,3.09,263.86,159.26
2022/2/2 2:30,1.25,3.09,265.06,152.06
2022/2/2 5:30,1.25,3.09,249.52,155.14
2022/2/2 8:30,1.25,3.09,271.12,146.95
2022/2/2 11:30,1.25,3.09,265.06,151.04
2022/2/2 14:30,1.25,3.09,263.86,150.01
2022/2/2 17:30,1.25,3.09,265.06,147.46
2022/2/2 20:30,1.25,3.09,261.45,139.36
2022/2/2 23:30,1.25,3.09,273.55,139.36
2022/2/3 2:30,1.25,3.09,271.12,148.99
2022/2/3 5:30,1.25,3.09,274.77,141.37
2022/2/3 8:30,1.25,3.09,266.27,150.53
2022/2/3 11:30,1.25,3.09,274.77,148.99
2022/2/3 14:30,1.25,3.09,272.33,147.46
2022/2/3 17:30,1.25,3.09,278.43,146.44
2022/2/3 20:30,1.25,3.09,266.27,146.44
2022/2/3 23:30,1.25,3.09,278.43,148.99
2022/2/4 2:30,1.25,3.09,267.48,150.53
2022/2/4 5:30,1.25,3.09,283.34,144.92
2022/2/4 7:30,1.25,3.09,281.86,139.25
2022/2/4 11:30,1.25,3.09,252.85,163.2
2022/2/4 14:30,1.25,3.09,252.85,167.57
2022/2/4 17:30,1.25,3.09,285.8,147.46
2022/2/4 20:30,1.25,3.09,284.57,160.3
2022/2/4 23:30,1.25,3.09,282.11,152.57
2022/2/5 2:30,1.25,3.09,269.9,154.11
2022/2/5 5:30,1.25,3.09,288.27,154.11
2022/2/5 8:30,1.25,3.09,278.92,134.43
2022/2/5 11:30,1.25,3.09,264.34,165.07
2022/2/5 14:30,1.25,3.09,287.78,141.07
2022/2/5 17:30,1.25,3.09,287.04,133.83
2022/2/5 20:30,1.25,3.09,284.57,163.93
2022/2/5 23:30,1.25,3.09,277.21,168.61
2022/2/6 2:30,1.25,3.09,274.77,149.5
2022/2/6 5:30,1.25,3.09,285.8,153.09
2022/2/6 8:30,1.25,3.09,296.71,152.68
2022/2/6 11:30,1.25,3.09,283.34,150.83
2022/2/6 14:30,1.25,3.09,292.24,139.25
2022/2/6 17:30,1.25,3.09,383.86,133.83
2022/2/6 17:36,1.25,3.09,279.65,154.37
2022/2/6 20:30,1.25,3.09,272.33,136.84
2022/2/6 23:30,1.25,3.09,244.32,180.17
2022/2/7 2:30,1.25,3.09,229.62,174.64
2022/2/7 5:30,1.25,3.09,229.62,167.57
2022/2/7 8:30,1.25,3.09,234.84,169.92
2022/2/7 12:30,1.25,3.09,219.28,166.01
2022/2/7 14:30,1.25,3.09,268.69,177.01
2022/2/7 17:30,1.25,3.09,224.43,168.35
2022/2/7 20:30,1.25,3.09,240.1,166.79
2022/2/7 23:30,1.25,3.09,244.32,163.82
2022/2/8 2:30,1.25,3.09,235.89,158.23
2022/2/8 5:30,1.25,3.09,233.1,163.2
2022/2/8 8:30,1.25,3.09,243.62,155.91
2022/2/8 11:30,1.25,3.09,215.87,159.78
2022/2/8 14:30,1.25,3.09,261.45,152.06
2022/2/8 14:59,1.25,3.09,240.1,162.37
2022/2/8 17:30,1.25,3.09,299.71,141.07
2022/2/8 20:30,1.25,3.09,302.72,138.65
2022/2/8 23:30,1.25,3.09,277.45,145.94
2022/2/9 2:30,1.25,3.09,273.06,153.29
2022/2/9 5:30,1.25,3.09,273.06,144.72
2022/2/9 8:30,1.25,3.09,267.24,164.45
2022/2/9 11:30,1.25,3.09,264.34,161.33
2022/2/9 14:30,1.25,3.09,266.88,142.13
2022/2/9 17:30,1.25,3.09,300.09,147.46
2022/2/9 20:30,1.25,3.09,287.04,136.09
2022/2/9 23:30,1.25,3.09,275.99,153.6
2022/2/10 2:30,1.25,3.09,277.45,163.82
2022/2/10 5:30,1.25,3.09,287.78,165.69
2022/2/10 8:30,1.25,3.09,290.75,143.5
2022/2/10 11:30,1.25,3.09,281.86,138.05
2022/2/10 14:30,1.25,3.09,293.73,139.25
2022/2/10 17:30,1.25,3.09,286.29,144.72
2022/2/10 20:30,1.25,3.09,274.52,154.52
2022/2/10 23:30,1.25,3.09,275.99,141.68
2022/2/11 2:30,1.25,3.09,287.78,130.84
2022/2/11 5:30,1.25,3.09,289.26,132.03
2022/2/11 8:30,1.25,3.09,244.8,150.01
2022/2/11 11:30,1.25,3.09,240.1,150.01
2022/2/11 14:30,1.25,3.09,221.57,150.01
2022/2/11 17:30,1.25,3.09,287.78,148.38
2022/2/11 20:30,1.25,3.09,274.52,145.94
2022/2/11 23:30,1.25,3.09,270.14,147.77
2022/2/12 2:30,1.25,3.09,278.92,151.45
2022/2/12 5:30,1.25,3.09,289.26,148.99
2022/2/12 8:30,1.25,3.09,270.14,170.08
2022/2/12 11:30,1.25,3.09,264.34,149.61
2022/2/12 14:30,1.25,3.09,265.79,146.55
2022/2/12 17:30,1.25,3.09,234.49,158.85
2022/2/12 20:30,1.25,3.09,278.92,152.06
2022/2/12 23:30,1.25,3.09,252.85,160.71
2022/2/13 2:30,1.25,3.09,254.27,160.09
2022/2/13 5:30,1.25,3.09,257.14,158.85
2022/2/13 8:30,1.25,3.09,252.85,163.2
2022/2/13 11:30,1.25,3.09,277.45,141.68
2022/2/13 14:30,1.25,3.09,281.86,150.22
2022/2/13 17:30,1.25,3.09,270.14,145.94
2022/2/13 20:30,1.25,3.09,290.75,161.33
2022/2/13 23:30,1.25,3.09,268.69,165.07
2022/2/14 2:30,1.25,3.09,267.24,160.71
2022/2/14 5:30,1.25,3.09,275.99,158.23
2022/2/14 8:30,1.25,3.09,275.99,152.68
2022/2/14 11:30,1.25,3.09,271.6,170.71
2022/2/14 14:30,1.25,3.09,268.69,167.57
2022/2/14 17:30,1.25,3.09,284.81,155.14
2022/2/14 20:30,1.25,3.09,293.73,151.45
2022/2/14 23:30,1.25,3.09,290.75,139.25
2022/2/15 2:30,1.25,3.09,270.14,156.38
2022/2/15 5:30,1.25,3.09,275.99,152.06
2022/2/15 8:30,1.25,3.09,240.1,165.23
2022/2/15 11:30,1.25,3.09,226.16,163.82
2022/2/15 14:30,1.25,3.09,260.01,171.96
2022/2/15 17:30,1.25,3.09,254.27,170.71
2022/2/15 20:30,1.25,3.09,251.42,149.61
2022/2/15 23:30,1.25,3.09,244.32,151.45
2022/2/16 2:30,1.25,3.09,252.85,151.45
2022/2/16 5:30,1.25,3.09,234.26,156.17
2022/2/16 8:30,1.25,3.09,227.31,174.9
2022/2/16 11:30,1.25,3.09,260.01,156.38
2022/2/16 14:30,1.25,3.09,270.14,152.06
2022/2/16 17:30,1.25,3.09,260.01,152.68
2022/2/16 20:30,1.25,3.09,281.86,154.52
2022/2/16 23:30,1.25,3.09,254.27,160.71
2022/2/17 2:30,1.25,3.09,264.34,156.99
2022/2/17 5:30,1.25,3.09,262.9,156.99
2022/2/17 8:30,1.25,3.09,277.82,145.94
2022/2/17 11:30,1.25,3.09,278.92,153.91
2022/2/17 14:30,1.25,3.09,274.52,161.33
2022/2/17 17:30,1.25,3.09,262.9,150.83
2022/2/17 20:30,1.25,3.09,261.45,181.44
2022/2/17 23:30,1.25,3.09,264.34,166.32
2022/2/18 2:30,1.25,3.09,289.26,149.61
2022/2/18 5:30,1.25,3.09,281.86,151.45
2022/2/18 8:30,1.25,3.09,280.39,145.33
2022/2/18 11:30,1.25,3.09,274.52,163.2
2022/2/18 14:30,1.25,3.09,271.6,155.76
2022/2/18 17:30,1.25,3.09,255.71,161.33
2022/2/18 20:30,1.25,3.09,271.6,150.22
2022/2/18 23:30,1.25,3.09,280.39,152.68
2022/2/19 2:30,1.25,3.09,286.29,152.68
2022/2/19 5:30,1.25,3.09,274.52,148.99
2022/2/19 8:30,1.25,3.09,284.81,146.55
2022/2/19 11:30,1.25,3.09,262.9,152.06
2022/2/19 14:30,1.25,3.09,252.85,158.85
2022/2/19 17:30,1.25,3.09,259.05,158.23
2022/2/19 20:30,1.25,3.09,270.14,156.99
2022/2/19 23:30,1.25,3.09,255.47,158.75
2022/2/20 2:30,1.25,3.09,263.86,153.6
2022/2/20 5:30,1.25,3.09,255.47,163.41
2022/2/20 8:30,1.25,3.09,258.57,166.32
2022/2/20 11:30,1.25,3.09,284.81,147.16
2022/2/20 14:30,1.25,3.09,280.39,145.94
2022/2/20 17:30,1.25,3.09,293.73,147.77
2022/2/20 20:30,1.25,3.09,302.72,141.07
2022/2/20 23:30,1.25,3.09,272.33,152.06
2022/2/21 2:30,1.25,3.09,277.21,150.01
2022/2/21 5:30,1.25,3.09,279.65,148.48
2022/2/21 8:30,1.25,3.09,273.55,154.11
2022/2/21 11:30,1.25,3.09,305.73,156.17
2022/2/21 14:30,1.25,3.09,270.14,139.25
2022/2/21 17:30,1.25,3.09,262.9,155.14
2022/2/21 20:30,1.25,3.09,260.01,158.23
2022/2/21 23:30,1.25,3.09,265.06,174.38
2022/2/22 2:30,1.25,3.09,275.99,155.65
2022/2/22 5:30,1.25,3.09,284.57,150.53
2022/2/22 8:30,1.25,3.09,241.5,161.96
2022/2/22 11:30,1.25,3.09,257.14,141.68
2022/2/22 14:30,1.25,3.09,245.74,150.83
2022/2/22 17:30,1.25,3.09,222.03,160.71
2022/2/22 20:30,1.25,3.09,274.77,128.85
2022/2/22 23:30,1.25,3.09,254.27,167.57
2022/2/23 2:30,1.25,3.09,260.25,143.91
2022/2/23 5:30,1.25,3.09,273.55,139.36
2022/2/23 8:30,1.25,3.09,281.86,135.63
2022/2/23 11:30,1.25,3.09,245.38,145.17
2022/2/23 14:30,1.25,3.09,256.06,145.94
2022/2/23 14:30,1.25,3.09,226.16,142.89
2022/2/23 17:30,1.25,3.09,261.45,147.77
2022/2/23 20:30,1.25,3.09,250.71,157.2
2022/2/23 23:30,1.25,3.09,255.47,154.11
2022/2/24 2:30,1.25,3.09,250.71,153.6
2022/2/24 5:30,1.25,3.09,251.89,157.2
2022/2/24 8:30,1.25,3.09,268.69,143.5
2022/2/24 11:30,1.25,3.09,264.34,154.52
2022/2/24 14:30,1.25,3.09,264.34,162.58
2022/2/24 17:30,1.25,3.09,267.24,161.33
2022/2/24 20:30,1.25,3.09,280.39,144.72
2022/2/24 23:30,1.25,3.09,292.24,145.33
2022/2/25 2:30,1.25,3.09,283.34,145.33
2022/2/25 5:30,1.25,3.09,284.81,141.68
2022/2/25 8:30,1.25,3.09,255.71,173.22
2022/2/25 11:30,1.25,3.09,252.85,154.52
2022/2/25 14:30,1.25,3.09,281.86,117.81
2022/2/25 17:30,1.25,3.09,281.86,126.66
2022/2/25 20:30,1.25,3.09,265.79,137.44
2022/2/25 23:30,1.25,3.09,254.27,143.5
2022/2/26 2:30,1.25,3.09,260.01,162.58
2022/2/26 5:30,1.25,3.09,265.79,161.96
2022/2/26 8:30,1.25,3.09,265.79,145.33
2022/2/26 11:30,1.25,3.09,258.57,144.11
2022/2/26 23:30,1.25,3.09,271.12,144.41
2022/2/27 2:30,1.25,3.09,288.27,120.94
2022/2/27 5:30,1.25,3.09,261.45,130.34
2022/2/27 8:30,1.25,3.09,280.39,156.38
2022/2/27 11:30,1.25,3.09,287.78,145.94
2022/2/27 14:30,1.25,3.09,286.29,150.83
2022/2/27 17:30,1.25,3.09,284.81,150.22
2022/2/27 20:30,1.25,3.09,275.99,144.72
2022/2/27 23:30,1.25,3.09,280.39,144.11
2022/2/28 2:30,1.25,3.09,271.6,151.45
2022/2/28 5:30,1.25,3.09,274.52,153.91
2022/2/28 8:30,1.25,3.09,278.92,149.61
2022/2/28 11:30,1.25,3.09,268.69,144.72
2022/2/28 14:56,1.25,3.09,290.75,169.66
2022/2/28 17:30,1.25,3.09,244.32,170.71
2022/2/28 20:30,1.25,3.09,271.6,164.45
2022/2/28 23:30,1.25,3.09,286.29,148.99
2022/3/1 2:30,1.25,3.09,274.52,158.23
2022/3/1 5:30,1.25,3.09,271.6,164.45
2022/3/1 8:30,1.25,3.09,299.71,135.63
2022/3/1 11:30,1.25,3.09,281.86,127.26
2022/3/1 14:30,1.25,3.09,290.75,140.62
2022/3/1 17:30,1.25,3.09,283.34,145.94
2022/3/1 20:30,1.25,3.09,293.73,145.94
2022/3/1 23:30,1.25,3.09,298.21,135.63
2022/3/2 2:30,1.25,3.09,298.21,139.86
2022/3/2 5:30,1.25,3.09,281.86,143.5
2022/3/2 8:30,1.25,3.09,314.83,132.63
2022/3/2 11:30,1.25,3.09,283.34,157.61
2022/3/2 14:30,1.25,3.09,280.39,153.29
2022/3/2 17:30,1.25,3.09,284.81,142.89
2022/3/2 20:30,1.25,3.09,289.26,139.25
2022/3/2 23:30,1.25,3.09,286.29,122.52
2022/3/3 2:30,1.25,3.09,284.81,138.65
2022/3/3 5:30,1.25,3.09,277.45,139.25
2022/3/3 8:30,1.25,3.09,281.86,143.5
2022/3/3 11:30,1.25,3.09,261.45,156.99
2022/3/3 14:30,1.25,3.09,271.6,154.52
2022/3/3 17:30,1.25,3.09,298.21,142.89
2022/3/3 20:30,1.25,3.09,304.22,136.84
2022/3/3 23:30,1.25,3.09,304.22,141.07
2022/3/4 2:30,1.25,3.09,324,133.23
2022/3/4 5:30,1.25,3.09,313.31,141.68
2022/3/4 8:30,1.25,3.09,274.52,161.96
2022/3/4 11:30,1.25,3.09,278.92,147.16
2022/3/4 14:30,1.25,3.09,278.92,144.11
2022/3/4 17:30,1.25,3.09,273.06,150.22
2022/3/4 20:30,1.25,3.09,274.52,137.44
2022/3/4 23:30,1.25,3.09,270.14,135.03
2022/3/5 2:30,1.25,3.09,280.39,139.86
2022/3/5 5:30,1.25,3.09,325.54,143.5
2022/3/5 8:30,1.25,3.09,271.6,125.48
2022/3/5 11:30,1.25,3.09,245.38,131.58
2022/3/5 14:30,1.25,3.09,194.07,173.85
2022/3/5 17:30,1.25,3.09,221,135.33
2022/3/5 20:30,1.25,3.09,234.84,165.23
2022/3/5 23:30,1.25,3.09,238.34,159.78
2022/3/6 2:30,1.25,3.09,263.26,145.17
2022/3/6 5:30,1.25,3.09,264.34,153.29
2022/3/6 8:30,1.25,3.09,240.1,172.28
2022/3/6 8:30,1.25,3.09,243.62,178.59
2022/3/6 11:30,1.25,3.09,230.31,173.85
2022/3/6 14:30,1.25,3.09,227.89,165.23
2022/3/6 17:30,1.25,3.09,223.4,171.33
2022/3/6 20:30,1.25,3.09,248.57,161.96
2022/3/6 23:30,1.25,3.09,260.01,150.22
2022/3/7 2:30,1.25,3.09,255.71,155.14
2022/3/7 5:30,1.25,3.09,270.14,147.16
2022/3/7 8:30,1.25,3.09,267.24,144.11
2022/3/7 11:30,1.25,3.09,248.93,152.06
2022/3/7 14:30,1.25,3.09,247.16,154.52
2022/3/7 17:30,1.25,3.09,233.1,156.99
2022/3/7 20:30,1.25,3.09,252.85,155.76
2022/3/7 23:30,1.25,3.09,257.14,152.06
2022/3/8 2:30,1.25,3.09,255.71,155.14
2022/3/8 5:30,1.25,3.09,254.27,155.14
2022/3/8 8:30,1.25,3.09,247.16,163.2
2022/3/8 11:30,1.25,3.09,241.5,157.61
2022/3/8 14:30,1.25,3.09,264.34,148.38
2022/3/8 17:30,1.25,3.09,260.01,150.83
2022/3/8 20:30,1.25,3.09,247.16,149.76
2022/3/8 23:30,10.74,3.09,302.72,110.23
2022/3/9 2:30,1.25,3.09,280.39,148.38
2022/3/9 5:30,1.25,3.09,267.24,148.99
2022/3/9 8:30,1.25,3.09,273.06,133.83
2022/3/9 11:30,1.25,3.09,267.24,158.85
2022/3/9 14:30,1.25,3.09,280.39,141.07
2022/3/9 17:30,1.25,3.09,280.39,139.25
2022/3/9 20:30,1.25,3.09,256.66,153.09
2022/3/9 23:30,1.25,3.09,268.69,160.3
2022/3/10 14:30,1.25,3.09,299.71,148.38
2022/3/10 17:30,1.25,3.09,277.21,150.01
2022/3/10 20:30,1.25,3.09,293.23,150.01
2022/3/10 23:30,1.25,3.09,260.25,154.11
2022/3/11 2:30,1.25,3.09,278.43,156.68
2022/3/11 5:30,1.25,3.09,305.73,154.11
2022/3/11 8:30,1.25,3.09,294.47,136.34
2022/3/11 11:30,1.25,3.09,302.72,149.61
2022/3/11 14:30,1.25,3.09,298.21,153.29
2022/3/11 17:30,1.25,3.09,308.76,148.99
2022/3/11 20:30,1.25,3.09,299.71,149.61
2022/3/11 23:30,1.25,3.09,295.22,146.55
2022/3/12 2:30,1.25,3.09,319.41,141.07
2022/3/12 5:30,1.25,3.09,316.35,143.5
2022/3/12 8:30,1.25,3.09,287.78,158.85
2022/3/12 11:30,1.25,3.09,209.77,186.54
2022/3/12 14:30,1.25,3.09,238.69,161.33
2022/3/12 17:30,1.25,3.09,226.16,171.96
2022/3/12 20:30,1.25,3.09,250,158.23
2022/3/12 23:30,1.25,3.09,223.21,163.56
2022/3/13 2:30,1.25,3.09,261.45,148.99
2022/3/13 2:30,1.25,3.09,231.7,150.22
2022/3/13 5:30,1.25,3.09,229.62,160.3
2022/3/13 8:30,1.25,3.09,251.89,174.38
2022/3/13 11:30,1.25,3.09,220.65,185.26
2022/3/13 14:30,1.25,3.09,250,144.72
2022/3/13 17:30,1.25,3.09,262.9,144.11
2022/3/13 20:30,1.25,3.09,252.85,142.89
2022/3/13 23:30,1.25,3.09,247.16,148.38
2022/3/14 2:30,1.25,3.09,257.14,156.38
2022/3/14 5:30,1.25,3.09,245.38,154.37
2022/3/14 8:30,1.25,3.09,265.79,141.07
2022/3/14 11:30,1.25,3.09,262.9,150.22
2022/3/14 14:30,1.25,3.09,293.73,141.68
2022/3/14 17:30,1.25,3.09,289.26,144.72
2022/3/14 20:30,1.25,3.09,273.06,145.94
2022/3/14 23:30,1.25,3.09,284.81,141.68
2022/3/15 2:30,1.25,3.09,292.24,133.83
2022/3/15 5:30,1.25,3.09,289.26,136.84
2022/3/15 8:30,1.25,3.09,277.45,140.46
2022/3/15 11:30,1.25,3.09,273.06,139.25
2022/3/15 14:30,1.25,3.09,244.32,159.47
2022/3/15 17:30,1.25,3.09,265.79,149.61
2022/3/15 20:30,1.25,3.09,258.57,148.99
2022/3/15 23:30,1.25,3.09,278.92,141.68
2022/3/16 2:30,1.25,3.09,270.14,147.16
2022/3/16 5:30,1.25,3.09,283.34,146.55
2022/3/16 8:30,1.25,3.09,267.24,146.55
2022/3/16 11:30,1.25,3.09,262.9,148.38
2022/3/16 14:30,1.25,3.09,258.57,153.91
2022/3/16 17:30,1.25,3.09,268.69,155.76
2022/3/16 20:30,1.25,3.09,281.86,138.05
2022/3/16 23:30,1.25,3.09,268.69,143.5
2022/3/17 2:30,1.25,3.09,289.26,152.06
2022/3/17 5:30,1.25,3.09,287.78,149.61
2022/3/17 8:30,1.25,3.09,287.78,142.28
2022/3/17 11:30,1.25,3.09,281.86,139.25
2022/3/17 14:30,1.25,3.09,298.21,120.75
2022/3/17 17:30,1.25,3.09,281.86,125.48
2022/3/17 20:30,1.25,3.09,293.73,133.83
2022/3/17 23:30,1.25,3.09,280.39,145.33
2022/3/18 2:30,1.25,3.09,295.22,144.72
2022/3/18 5:30,1.25,3.09,275.99,147.16
2022/3/18 8:30,1.25,3.09,281.49,151.29
2022/3/18 11:30,1.25,3.09,289.26,150.22
2022/3/18 14:30,1.25,3.09,296.71,149.61
2022/3/18 17:30,1.25,3.09,286.29,152.06
2022/3/18 20:30,1.25,3.09,293.73,136.24
2022/3/18 23:30,1.25,3.09,304.22,121.34
2022/3/19 2:30,1.25,3.09,280.39,141.07
2022/3/19 5:30,1.25,3.09,278.92,139.25
2022/3/19 8:30,1.25,3.09,295.72,145.94
2022/3/19 11:30,1.25,3.09,280.88,152.06
2022/3/19 14:30,1.25,3.09,283.34,158.23
2022/3/19 17:30,1.25,3.09,272.33,157.46
2022/3/19 20:30,1.25,3.09,250,157.61
2022/3/19 23:30,1.25,3.09,252.85,151.45
2022/3/20 2:30,1.25,3.09,264.34,156.99
2022/3/20 5:30,1.25,3.09,265.79,153.91
2022/3/20 8:30,1.25,3.09,271.6,153.91
2022/3/20 11:30,1.25,3.09,255.71,142.28
2022/3/20 14:30,1.25,3.09,237.29,155.76
2022/3/20 17:30,1.25,3.09,268.69,154.52
2022/3/20 20:30,1.25,3.09,270.14,151.45
2022/3/20 23:30,1.25,3.09,290.75,147.16
2022/3/21 2:30,1.25,3.09,310.27,143.5
2022/3/21 5:30,1.25,3.09,307.24,138.05
2022/3/21 8:30,1.25,3.09,308.76,119.57
2022/3/21 11:30,1.25,3.09,295.22,129.04
2022/3/21 14:30,1.25,3.09,301.21,135.03
2022/3/21 17:30,1.25,3.09,257.14,126.66
2022/3/21 20:30,1.25,3.09,219.28,167.57
2022/3/21 23:30,1.25,3.09,272.33,142.89
2022/3/22 2:30,1.25,3.09,289.26,139.86
2022/3/22 5:30,1.25,3.09,292.24,138.65
2022/3/22 8:30,1.25,3.09,265.79,145.94
2022/3/22 11:30,1.25,3.09,257.86,131.58
2022/3/22 14:30,1.25,3.09,262.9,145.94
2022/3/22 17:30,1.25,3.09,292.24,147.16
2022/3/22 20:30,1.25,3.09,283.34,125.48
2022/3/22 23:30,1.25,3.09,267.24,123.7
2022/3/23 2:30,1.25,3.09,264.34,138.65
2022/3/23 5:30,1.25,3.09,267.24,136.24
2022/3/23 8:30,1.25,3.09,242.91,144.72
2022/3/23 11:30,1.25,3.09,252.85,145.94
2022/3/23 14:30,1.25,3.09,235.89,150.83
2022/3/23 17:30,1.25,3.09,233.1,151.45
2022/3/23 20:30,1.25,3.09,240.1,144.11
2022/3/23 23:30,1.25,3.09,244.32,151.45
2022/3/24 2:30,1.25,3.09,242.91,147.16
2022/3/24 5:30,1.25,3.09,215.19,150.83
2022/3/24 8:30,1.25,3.09,242.91,146.55
2022/3/24 11:30,1.25,3.09,257.14,144.72
2022/3/24 14:30,1.25,3.09,255.71,141.07
2022/3/24 17:30,1.25,3.09,264.34,148.38
2022/3/24 20:30,1.25,3.09,270.14,150.83
2022/3/24 23:30,1.25,3.09,268.69,138.65
2022/3/25 2:30,1.25,3.09,283.34,143.5
2022/3/25 5:30,1.25,3.09,283.34,147.16
2022/3/25 8:30,1.25,3.09,283.34,144.72
2022/3/25 11:30,1.25,3.09,248.57,143.5
2022/3/25 14:30,1.25,3.09,250,165.07
2022/3/25 17:30,1.25,3.09,284.81,124.29
2022/3/25 20:30,1.25,3.09,268.69,145.94
2022/3/25 23:30,1.25,3.09,264.34,164.45
2022/3/26 2:30,1.25,3.09,303.22,162.37
2022/3/26 2:30,1.25,3.09,233.1,153.6
2022/3/26 5:30,1.25,3.09,273.06,153.91
2022/3/26 8:30,1.25,3.09,281.86,152.68
2022/3/26 11:30,1.25,3.09,281.86,156.38
2022/3/26 14:30,1.25,3.09,290.75,145.94
2022/3/26 17:30,1.25,3.09,295.22,150.83
2022/3/26 20:30,1.25,3.09,295.22,125.48
2022/3/26 23:30,1.25,3.09,277.45,141.68
2022/3/27 2:30,1.25,3.09,293.73,139.25
2022/3/27 5:30,1.25,3.09,298.21,137.44
2022/3/27 8:30,1.25,3.09,275.99,148.23
2022/3/27 11:30,1.25,3.09,287.78,142.28
2022/3/27 14:30,1.25,3.09,284.81,145.33
2022/3/27 17:30,1.25,3.09,293.73,141.07
2022/3/27 20:30,1.25,3.09,287.04,142.13
2022/3/27 20:56,1.25,3.09,290.75,152.06
2022/3/27 23:30,1.25,3.09,286.29,146.55
2022/3/28 2:30,1.25,3.09,284.81,150.22
2022/3/28 5:30,1.25,3.09,283.34,152.06
2022/3/28 8:30,1.25,3.09,286.29,146.55
2022/3/28 11:30,1.25,3.09,286.29,161.96
2022/3/28 14:30,1.25,3.09,252.85,166.94
2022/3/28 17:30,1.25,3.09,265.79,159.47
2022/3/28 20:30,1.25,3.09,275.99,148.99
2022/3/28 23:30,1.25,3.09,278.92,148.99
2022/3/29 2:30,1.25,3.09,265.79,153.29
2022/3/29 5:30,1.25,3.09,274.52,144.11
2022/3/29 8:30,1.25,3.09,274.52,161.96
2022/3/29 11:30,1.25,3.09,275.99,156.99
2022/3/29 14:30,1.25,3.09,278.92,150.83
2022/3/29 17:30,1.25,3.09,265.79,155.76
2022/3/29 20:30,1.25,3.09,267.24,149.61
2022/3/29 23:30,1.25,3.09,234.49,159.47
2022/3/30 2:30,1.25,3.09,237.29,163.82
2022/3/30 5:30,1.25,3.09,250,161.33
